Review,Category,has_adverse
Earlier I went to my opthamologist and he is kind of shocked that I said I was about to collapse and he said that don't take that medicine because of the side effects,Adverse,
Right now I can still feel the tingling in my fingers and foot,Adverse,
"I have couple days taking this medication twice daily, and it give me some side effects",Adverse,
"gives me tingling in my fingers and toes, nausea and I also experienced dizziness but my doctor says it will go away in two weeks",Adverse,
I relapsed about a week ago and had an opening pressure of 55 after having extremely loud pulsatile tinnitus for a week,Adverse,
"I was put on 1g of Diamox and for the past week the whooshing noise has gotten much, much softer and sometimes I can't even hear it",Adverse,
I take Vitamin C to help with the tingling and have barely noticed it,Effective,
I'm thankful my body is responding well this time but it's different for everybody,Effective,
"""Without the medication, I have major headaches, sinus headaches, one eye will begin to bulge, and my head will feel like a balloon",Effective,
"With the medication, I'm good",Effective,
The first couple days I was much more tired and almost foggy minded,Adverse,
Also had to urinate much more often,Adverse,
"Than after the first couple days, my body got very used to it",Effective,
The only main symptom I have now is light tingling in my feet,Adverse,
My eye pressure was down from 39 to 28 in a weeks time,Effective,
My appetite is lessened which I am so glad about,Effective,
I am 60 lbs overweight,Adverse,
My mouth is dry and my lips are somewhat numb,Adverse,
But from everything I have read the side effects to this medication or any other would have to be really bad before I'd say I can't take this medication any more,Effective,
I pray the meds work so I do not need a shunt,Effective,
Felt the side effects within the first hour,Adverse,
"Tingling in my hands and feet, some days my face",Adverse,
There were even days when my eyes and lips would twitch,Adverse,
All carbonated drinks taste like drinking battery acid,Adverse,
"The first few weeks sucked, but it gets better with time",Effective,
"I just saw my eye specialist yesterday, 6 months of being on the miracle medicine, and the Diamox (and shedding a few pounds) has done it's job and not a trace of swelling! I'm able to come off it in a few short weeks",Effective,
I got a lumbar puncture and then started Diamox and it has been an awful experience,Adverse,
The first week and a half I was severely exhausted had nausea and the taste issue and basically wasn't functional,Adverse,
"Then for about a week or so I seemed to be getting better until a few days ago when I've been very rapidly getting new symptoms/side effects like severe joint pain, itchy scalp, and waking up with my eyelids swollen half shut and then this morning my lips where extremely swollen",Adverse,
I had to go to the ER to make sure it wasn't an allergic reaction but it seems to be just a weird reaction to the meds (not allergic),Adverse,
"""Diamox changed my life I had 24/7 pressure headache for 7 years of my life I went everywhere even to the mayo clinic and had test after test and scan after scan and finally my local neurologist tried this medication and it has made me able to live again for the first time in 7 years! I was diagnosed with chronic daily headache and told I would never get better but to everyone suffering there is hope don't believe what a few drs say keep searching for answers",Effective,
I developed a rare side effect of blurred vision/myopia which came on about an hour after the second dose of diamox,Adverse,
The myopia lasted for 72 hours after ceasing the medication,Adverse,
It almost ruined my trip but fortunately vision returned just in time to start the hike,Adverse,
No side effects but unfortunately the Dex didn't work as I got altitude sickness,Ineffective,
"""I'm 28 and I was diagnosed with Pseudotumor a little over two years now I've had a VP shunt an LP shunt and multiple lumbar punctures, I've been taking Acetazolmide and I've had no side effects so far",Effective,
"but I'm still having really bad headache's and swelling of my eyeballs, so yesterday my neurologist decided that instead of taking two pills in the morning and two pills at night, I'll start taking three pills in the morning and three pills at night",Adverse,
"""Confusion, lethargy, diarrhea, hyperchloremia, CO2 16, nausea, dizziness""",Adverse,
"All seemed well for the first two weeks, and now we are back to the beginning with headaches, swelling of the face, blurred vision and unusual tiredness",Adverse,
"It helped us both sleep, avoided getting ill and suppressed our appetites",Effective,
"We did feel some very slight dizziness/lightheadedness when we first started it, but were able to pretty much ignore it",Effective,
I highly recommend it if you will be unable to acclimate - your trip will not be spoiled by getting sick,Effective,
"""I only had side effects for the first 2 weeks",Effective,
The most annoying side effect was the tingling in my feet and knees,Adverse,
"Luckily, my hand were fine",Effective,
I also had to go pee at least 20 times a day and each time I would pee a hell lot of water,Adverse,
This was mostly disturbing when I was at work and had to get up every 30 minutes to go to the bathroom,Adverse,
My head also felt pretty light and I fell asleep easily during the day,Effective,
"""My experience with acetazolamide has been okay",Effective,
"(I got IIH because it was a rare side effect of an antibiotic I was on for my acne, minocycline) it has been VERY effective at relieving the pressure, but gives really annoying side effects, like tingling of my fingers, face, and toes",Effective,
Like when I'm trying to sleep my feet tingle and go crazy and it makes it impossible to sleep,Adverse,
It also made me have little to no appetite and I have lost 20 pounds in about 2 months,Adverse,
"I my neurologist told me that long term use of this medication can cause kidney damage, but 6 months to a year shouldn't be a worry",Adverse,
"I have lost 8 IBS being on it already, tingling in the fingers, and around my lips",Adverse,
"I no longer drink pop anymore at all, it works",Effective,
In this time I have found it a very effective drug,Effective,
One side effect I did experience was the drug Tegretol in tandem with Diamox did not allow the Diamox to work effectively,Ineffective,
This was soon discovered and Tegretol was stopped,Ineffective,
My family Dr took me off the prednisone after a few months and I gained over 100lbs,Adverse,
The Diamox caused me weird side effects,Adverse,
"My face was all ""tingling"", everything I ate or drank tasted metallic (especially if it was fruit or carbonated)",Adverse,
"Eventually the tingling started down my neck, chest, and hands/arms",Adverse,
"""I have been taking this medicine for only two weeks after being diagnosed with pseudotumor cerebri and it is awful",Adverse,
I feel like everything is getting worse,Adverse,
"Before the medication I already had the ringing in my ears, the terrible headaches, and occasionally I had numbness of my face, hands, and legs along with many other symptoms",Ineffective,
"Now since taking this medication the ring and headaches are EXACTLY the same if not worse and my feet are killing me, they are constantly ""asleep"" with the feeling of tiny thumb tack jabs all over",Ineffective,
"it's multiple times a day, walking, standing, sitting, laying down, I feel worse now than I did before",Adverse,
"""This medication saved my vision and made my headaches go away",Effective,
I have the side effects of metallic taste with fizzy drinks and some sexual dysfunction but it doesn't effect my daily life,Effective,
"""Works amazingly!""",Effective,
"""Effective, but not without side effects",Effective,
"The first month was pretty bad - my hands, feet, and legs were falling asleep and I experienced painful tingling and cramps",Adverse,
"My joints also had problems, and I had to wear a brace on my knee for a little while",Adverse,
I was more lethargic,Adverse,
Anything carbonated tasted awful,Adverse,
I couldn't drink caffeine or my whole body would feel weird and tingly,Adverse,
I also had to pee a lot during the first few weeks and was quite thirsty,Adverse,
"Over time, most of the side effects went away, and my pressure went down",Effective,
My vision problems completely went away,Effective,
"However, a new side effect appeared after about two years - tinnitus",Adverse,
Started losing my eyesight and then they found a blood clot in the main artery of my brain,Adverse,
"Once blood clot was treated still had fluid behind my eyes, headaches, foggy brain and no energy",Ineffective,
The diamox has helped the foggy brain,Effective,
"The side effects weren't bad had tingling for few days, metallic taste and drowsiness",Effective,
The drowsiness is the worst part because several other medicines I take cause drowsiness also,Adverse,
I did have pain in my joints for first two days but it went away,Effective,
I have lost 8lbs since starting it,Adverse,
"""Diamox didn't work and I hate it""",Ineffective,
"""Side effects far worse than Idiopathic Intracranial Hypertension (IIH) it's self",Adverse,
"Constantly nauseous, made no difference to headaches/pressure, suffered with slight breathing difficulties & palpitations, the tingling in hands and feet were more like cramp than tingling in the end",Adverse,
"gave me acetazolamide which got rid of the pressure, but caused these insane rashes everywhere on my legs and extreme muscle pain",Adverse,
Side effects are horrible,Adverse,
And I also have noticed more and more side effects the longer I take the meds,Adverse,
Without this medication I have seven to eight episodes weekly,Effective,
It really a is a miracle drug!!!! For the tingling sensation I take emernc it's a vitamin and immune booster,Effective,
"I also found a whole list of medications and food you can't take while taking diamox on Pinterest and as long as I stay on top of everything I feel better""",Effective,
"Yes, this caused severe abdominal and GI upset for almost the first month I was taking it and a little bit here and there",Adverse,
My ophthalmologist has seen an improvement,Effective,
The benefits that I have had with my vision and headaches has been wonderful,Effective,
"It really works, but had tingling effects in my hands and feet as well as the drowsiness/tiredness",Effective,
With the correct dosage I was able to reasonably maintain my headaches,Effective,
"The most common side effects I have are tingling in hands, face, and feet and dry mouth",Adverse,
These are tolerable side effects compared to pain off of the medication,Effective,
"My eye doctor, after a month of different testing, diagnosed me with pseudotumor cerebri and a neurologist started me on diamox and within two weeks my eye turned straight again, and the headaches and double vision were gone",Effective,
"I experienced the common tingling in my hands and feet, difficulty drinking carbonated beverages, small rashes, and lethargy from diamox, but it was all bearable after a week and within a month I am fixed",Effective,
This drug is truly a miracle for people who suffer with the effects of altitude problems,Effective,
Very few side effects that I experience,Effective,
"Tingling in your fingers and toes on occasion, little tired, but not extreme",Effective,
Carbonated drinks are strange tasting as well,Adverse,
"""Day 21 
I had completely lost my eyesight, imagine that",Adverse,
Losing 20/10 vision at 25 years old,Adverse,
"The side effects, I get a lil tingle in my feet for a minute maybe 4x a day, carbon drinks taste weird",Adverse,
The diamox dropped my pressure in both eyes to 5 which is low,Effective,
But I am regaining vision no peripheral vision yet but I am blessed to have something,Effective,
Diamox has been a wonder drug in preventing alt,Effective,
sickness on tours I've been on since Bolivia,Adverse,
Tingling and bad tasting soda symptoms are greatly reduced at that dosage compared to the 250mg I initially used,Effective,
"""I have congenital glaucoma this medication was prescribed to me in 2009 the worse medication I've ever had",Adverse,
"Tingling of the toes, fingers at times lips",Adverse,
Worse headache of my life and it's related to Diamox according to my doctor,Adverse,
The headache becomes so bad I can't think straight,Adverse,
It doesn't lower eye pressure for me in its entirety,Ineffective,
"Also, accompanied with this medication it falls down horribly on my stomach unbelievable pain as well as dizzy symptoms",Adverse,
I have tried every available option out there to treat tinnitus and nothing has worked,Ineffective,
Within 2 hours of taking diamox the ringing in my ears stopped completely and the pressure behind my eyes went away as well as headaches I've dealt with for years,Effective,
I was shocked that this medicine is working as one of the side effects was ringing in the ears but I am having the opposite effect,Effective,
"""In a pretty critical situation after cataract surgery, this drug brought it totally in line",Effective,
Side effects for me were mild though annoying,Effective,
"Of all of the side effects, a spacey feeling for about 10 minutes the first two times, and tingling fingers and toes",Adverse,
All in all worth it for short term treatment,Effective,
"""All I have to say is that this pill has made my life so much better",Effective,
"Ever since I've never been the same until now although I deal with the side effects (sleepy, muscle weakness , tiredness, tingling ) being sleepy has been the worst to cope with because I'm a mother and I have things to do BUT at least some days I'm able to function well and that's better than nothing",Effective,
"""I had swelling around my optic nerves causing vision problems and also had debilitating headaches that got worse with movement and made it impossible to exercise",Adverse,
I lived with it for years unknowingly and got progressively worse,Adverse,
I have been taking generic Diamox for 3 weeks and haven't had a single headache,Effective,
"There are 2 side effects I experience, tingling in my feet which was very bothersome but has lessened and that any beverages with carbonation taste terrible",Adverse,
Nothing ever showed on MRI's so they kept giving me migraine medicines but nothing ever worked,Ineffective,
"Once I was diagnosed and took the medicine the pressure went away, but the side effects started",Effective,
Tingling and bad tasting carbonation is something that you can deal with when the bowling ball size pressure in your brain is gone,Effective,
The worst side effect for me was the spacey and droggy-ness I felt,Adverse,
"""I felt horrible for the first two weeks after being diagnosed with pseudotumor cerbri, and taking the medicine 1000mg a day",Adverse,
The tingling in my hands face and toes comes and goes,Ineffective,
I have had no more headaches or pressure in my sinuses since the first few weeks of starting it,Effective,
"""I had high pressure in eye after cataract surgery",Adverse,
This lowered the pressure in two days,Effective,
"Made me spacey and I slept a lot but it worked!""",Effective,
"""This medicine helped me so much to relieve some of the pressure in my head and leveled the pressure in my eyes",Effective,
I also have edema of the legs and it gets so bad that at times I retain over 20 lbs of water which slows me down terribly,Adverse,
The pills helped me greatly and kept me active,Effective,
"However my doctor decided to take me off them and put me on Topamax because though the pressures were down, the headaches and pain was still there",Ineffective,
I have gained so much weight because I barely move at times and have not been as active as I once was,Adverse,
My legs and now my abdomen are filled with fluid,Adverse,
Started diamox and it changed my life,Effective,
Within days I was feeling so much relief,Effective,
"Over time, my dose went up and the next move was an LP shunt which has worked wonders for almost 8 years",Effective,
It's starting to fail now so my revision is scheduled and I'm back on diamox in the meantime,Ineffective,
"Yet again, symptoms under control with it",Effective,
"Yes I have weird tingling in my face hands and legs, and I can't drink carbonated beverages, oh well - I'm thankful to be functioning and not nauseous and dizzy and disoriented all day long",Effective,
Diamox is the best thing other than my shunt for this disease,Effective,
"""Miserable! I was tired",Adverse,
"Weak, couldn't stand or walk",Adverse,
"My lips were chapped, burning and the corners of my mouth were red and raw",Adverse,
Food and drink burned when swallowed,Adverse,
Every time I take one of these pills I get a new symptom,Adverse,
My kidney function has been weaker,Adverse,
The pressure in my head continues,Ineffective,
My body aches all over,Adverse,
The yucky taste,Adverse,
Extremely tired and feel like I've been beat,Adverse,
I feel like bricks are laying inside my hips,Adverse,
"This stuff sucks!!""",Adverse,
I experienced extreme tiredness dizziness headaches and had a decrease in appetite,Adverse,
"After about 2 days I noticed numbness and tingling in my hands and feet ringing in my ears a stabbing pressure pain in my eyes and abdominal pain I had to pee every 20-30 min and had extreme diarrhea instantly after every meal, all my bowel movements are diarrhea",Adverse,
"I fluctuate back and forth with the once and twice a day because he will not let me stop taking it and all of the affects still remain after 8 months of treatment but it has decreased the fluid levels on my brain and I lost 30 pounds are the only benefits""",Effective,
"""While there are some side effects, and it doesn't completely eliminate my condition, Diamox has allowed me to live a normal life",Effective,
The soles of my feet were tingling with such intensity they hurt,Adverse,
"Did not last long, then around my mouth started tingling, feels like I ate as mango which I am highly allergic to",Adverse,
"(Basically, part of my brain is squeezing through the opening at the base of the skull where the spinal cord enters, and is putting pressure on the spinal cord - it's a congenital thing in almost all cases, but for me wasn't diagnosed until age 34",Adverse,
"So far it's reduced the severity of my migraines but not their frequency, and hasn't done anything for the pain",Ineffective,
"The tingling is the only side effect that hasn't gone away, and most of the time it doesn't bother me, but sometimes it's intense enough that I feel like I'm suffering oxygen deprivation from hyperventilating - my hands even start to go stiff",Adverse,
"Still, more pros than cons for me",Effective,
"""In the ER for the 2nd time with a horrific headache",Adverse,
I started this medicine in the hospital for two days and can say this is the first time in over 6 months I have not had a headache,Effective,
I can tolerate the tingling and the weird taste carbon has now but that is a minor inconvenience compared to head feeling like its in a world champion soccer game,Effective,
I have lost 11 pounds in that week due to the loss of appetite,Adverse,
Nothing tastes good to me anymore,Adverse,
I urinate every 2 hours minimum,Adverse,
"I get a tingling feeling in my fingers, face and legs",Adverse,
"It has alleviated the headaches though!""",Effective,
Finally this was prescribed as a last attempt since it is not FDA approved to treat headaches and since I have had at least 2 weeks with a headache that is much more improved than before I can actually function most days now,Effective,
"This medication causes me to have severe muscle aches, weakness, fatigue, tingling in hands, feet and face along with nausea but its still better than how I was before",Effective,
"So, the Acetazolamide was very effective in accomplishing its purpose",Effective,
"However, the side effects were miserable, and I was very happy when the doctor said that eye drops would be sufficient going forward",Effective,
"It made me always tired, gave me diarrhea, made my hands and feet tingle almost to the point of pain, and made it so I could not stay warm",Adverse,
So I would sum it up as effective but miserable,Effective,
"It took my pressure away, saved my eyes",Effective,
"But this time around I had horrible side effects: nausea, vomiting, diarrhea, extremely tired, brain fog,weakness",Adverse,
